settled_at,payment_hash,source,app,kind,sender_npub,sender_name,episode_id,episode_num,episode_title,show_level,total_sats,our_sats,divisor,total_sats_method,message,reed_sats,rev_sats,aquafox_sats,guests_sats,fountain_sats,uncertain_sats
2026-07-17T21:45:13Z,6a3b624b5e79e2484292f133232e25e9d8148a080a9e89556cf16f1dd74854fa,zap,nostr zaps,zap,npub1734r9jc3rzu00j6tsv8sx6cl96p5v95gncqsffgwtxldtuewrlsqxs8ed3,,,,,true,1000,1000,1.0,zap receipt,,0,0,1000,0,0,0
2026-07-17T21:25:04Z,44538d314380ef39b27d750e8d020d9290ce21202411de77510aad595757ed1d,fountain_boost,Fountain,boost,npub1a3zuwhttqgxw340qgupl24jmydnssmht05v48ecm5tvx762d358sexf24q,,PfxSpLSelb60eIHqjiSC,002,"Local Bitcoiners • Meetups are the Ultimate Web of Trust: Jersey City, NJ | Ep. 002",false,1000,330,1.0,fountain api,Excellent episode.  I agree that every meetup group needs to set up an online chat once it gets its legs.  We did the Telegram thing at Cleveland Bitcoin but as you pointed out to many scammers on that app.  We switched to Discord and it has blossomed.  Can’t recommend it enough.,330,330,160,160,20,0
2026-07-17T20:51:07Z,6eca9580433974b78577ab55cabb92e2e86199a5a1190c364ad7e61c497f4769,zap,nostr zaps,zap,npub1zgy6k5c8qdw3zjvhwf6gjyqcpsdq7jgd8lndsjzpfvtfqykkj65smuswzn,,,,,true,42,42,1.0,zap receipt,Onward 🫡,0,0,42,0,0,0
2026-07-17T20:51:04Z,954788fbc3f9fa22d03f2ead0a8e9e4aac50f5cda45dc71766e323cab330977c,zap,nostr zaps,zap,npub1zgy6k5c8qdw3zjvhwf6gjyqcpsdq7jgd8lndsjzpfvtfqykkj65smuswzn,,,,,true,42,42,1.0,zap receipt,Onward 🫡,0,0,42,0,0,0
2026-07-17T20:50:57Z,39f28d1c579c0ebf62f193e729b7d0f347c6f12fceaa2fbce0b87419903ac993,zap,nostr zaps,zap,npub1zgy6k5c8qdw3zjvhwf6gjyqcpsdq7jgd8lndsjzpfvtfqykkj65smuswzn,,,,,true,42,42,1.0,zap receipt,Onward 🫡,0,0,42,0,0,0
2026-07-17T20:42:08Z,374f084ef2cc5025408662af4b41a4232b42570dd0ce7e0d9b3e29179aa0a5e1,fountain_boost,BoostMeBitch,boost,,ChadF,,,,false,100,33,1.0,tardbox,boostmebitch.com has become self aware,33,33,32,0,2,0
2026-07-17T19:51:12Z,a34e73bb089de6f0c58e5eebfdfca2f859a4218ec7cd13a718b608ff6bddd46f,fountain_boost,BoostMeBitch,boost,,,,,,false,100,33,1.0,tardbox,non nostr test boost,33,33,32,0,2,0
2026-07-17T19:38:54Z,c96c70df71eba80e8073dc804c74cff92c4a2c0c1b5318da47cfbe433ad41417,website,localbitcoiners.com,boost,npub1f5pre6wl6ad87vr4hr5wppqq30sh58m4p33mthnjreh03qadcajs7gwt3z,,LFRAwquls7et64LTHFIF,020,"Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,68,33,1.0,boost receipt,CBC Rules!,23,22,1,22,0,2
2026-07-17T18:26:04Z,de7b5d59cde3565225aa9f256520ef82b12f4b175d7cd13bcbeedd8f636e6b90,fountain_boost,Fountain,boost,npub1vvcxpktswmuaqr5a27u3926m036mu43wgev4rsktcntduygdn4estgp5fy,,LFRAwquls7et64LTHFIF,020,"Local Bitcoiners • Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,111,37,1.0,fountain api,Bullish,36,37,0,36,2,0
2026-07-17T18:24:39Z,ee3cbdb73d9de9c8b9d0a2703aec48c61240b1676027aebbe7bec75759169721,fountain_boost,Fountain,boost,npub13v5w9ylsdahkfggkaa6ya2qardpfsgt8r45n5j27c6j8en8g3nrqsacqpv,,LFRAwquls7et64LTHFIF,020,"Local Bitcoiners • Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,1100,363,1.0,fountain api,i love your show! \nCheckout nostr:npub1ua03t3kxfcwr0m79ld8qejuf874ntugd6j6z3syd2rqmrg553fgq2c65fk homemade goods made with care and pure ingredients.\nhttps://www.takemysats.com/sats-pit,363,363,0,352,22,0
2026-07-17T16:23:05Z,ebd105eecc3550fccc339e20eee361044dc20466a71793ac6efa88de3e3d14d3,fountain_boost,BoostMeBitch,boost,,anon,LFRAwquls7et64LTHFIF,020,"Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,100,33,1.0,tardbox,test boost,33,33,0,32,2,0
2026-07-17T16:19:03Z,e8616270ff7fd1e93bd335050f3c26bee273711617a4cf63ae300239bbeb8b68,website,localbitcoiners.com,boost,npub1xgyjasdztryl9sg6nfdm2wcj0j3qjs03sq7a0an32pg0lr5l6yaqxhgu7s,,LFRAwquls7et64LTHFIF,020,"Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,68,33,1.0,boost receipt,test boost,23,22,1,22,0,0
2026-07-17T15:29:05Z,41f79a817c5ed020de11c393d1d210cb06a3b4f7cd296f0895732a906372bc0a,fountain_boost,Fountain,boost,,,LFRAwquls7et64LTHFIF,020,"Local Bitcoiners • Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,10000,3300,1.0,fountain api,CBC. Bringing bitcoiners together,3300,3300,0,3200,200,0
2026-07-17T15:23:45Z,c62970ce1fe6fb2f80bc4432db26262206ec13be9a2a7ea03a17889085b7849e,keysend,Fountain,boost,,whit6r@fountain.fm,PyYiZvwjQw13umitWd3D,001,"001. Starting and Growing Meetups | Western MA and South Bend, IN",false,1000,330,1.0,keysend boostagram,"The episode that started it all!  This is a solid foundation episode for anyone who wants to get their meetup up and running.  At Cleveland Bitcoin we use Club Orange and X.  We used Meetup.com at some point too.  But once you are consistent and a few core people stick then word of mouth really gets them to your meetups.  By the way, our group has a website.  Check it out … ClevelandBitcoin.org",330,330,320,0,20,0
2026-07-17T15:14:08Z,293a76ae770cc34d6eb03b308ecdb74888321a6682c628f6cf706638a16491d9,website,localbitcoiners.com,boost,,,LFRAwquls7et64LTHFIF,020,"Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,68,33,1.0,boost receipt,,23,22,1,22,0,0
2026-07-17T11:48:45Z,38c999e103c8951ed36ff2a196483794f246450452adfa45a9bc4f394e2cdcc2,fountain_boost,Fountain,boost,npub1zgy6k5c8qdw3zjvhwf6gjyqcpsdq7jgd8lndsjzpfvtfqykkj65smuswzn,,LFRAwquls7et64LTHFIF,020,"Local Bitcoiners • Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,100,33,1.0,fountain api,"Think I managed to triple boost lol, though 2 seemed to have failed splits. Enjoy the extra sats guys, hoping one day I can visit Chicago to see this awesome project.",33,33,0,32,2,0
2026-07-17T11:19:20Z,12cee8c7d955d1b66800ded1974b8a1937b0f44746da2fd1b7bc2b2d63828186,fountain_boost,Fountain,boost,npub1zgy6k5c8qdw3zjvhwf6gjyqcpsdq7jgd8lndsjzpfvtfqykkj65smuswzn,,LFRAwquls7et64LTHFIF,020,"Local Bitcoiners • Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,500,165,1.0,fountain api,Amazing ep from the Chicago guys. Where can I get my hands on some SatsOil from Italy? Tried to search but only found an X handle and I haven't got X.,165,165,0,160,10,0
2026-07-17T06:53:12Z,e00ac123245c2d07d22c1def347b2256192620684f8f293835a6524208dabf3b,zap,nostr zaps,zap,npub14dcps797lsnqjl7d6fetkuq6a0068538e2kgt55vt4zdapxk638qj7wcyy,,,,,true,12,4,0.333333,zap receipt,,0,0,4,0,0,0
2026-07-17T03:40:15.583Z,,fountain_stream,Fountain,stream,npub1tan2cwtf8s7zxvck79qllzaa7smy03y9ftd50gk6jnag2htnslssyfhjmr,,LFRAwquls7et64LTHFIF,020,"Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,22,,,fountain supporters firestore,,8,7,0,7,0,
2026-07-17T03:40:10Z,16a151ba2b377cdc428d3e33e1db5f02f4c2f515d048f6ac1abe3a94f935f3e8,fountain_boost,Fountain,boost,npub1tan2cwtf8s7zxvck79qllzaa7smy03y9ftd50gk6jnag2htnslssyfhjmr,,LFRAwquls7et64LTHFIF,020,"Local Bitcoiners • Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,2000,660,1.0,fountain api,Let’s go!! It’s nice to hear you all together! Doing big things for the Bitcoin Comminity! Thank you 🧡✨,660,660,0,640,40,0
2026-07-16T22:42:19Z,8618bdf16c76ec755cb4b14ad9e96976667a147eb2b56e1b08cbc02f4646bc7b,fountain_boost,Fountain,boost,npub1jxh2kga4ve8d4ftahcqtqswvk5z5f7ya0k2kx3dm679hmw4ysesqvt62rj,,LFRAwquls7et64LTHFIF,020,"Local Bitcoiners • Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,101,33,1.0,fountain api,Another lovely V4V podcast is the Millennial Media Offensive. Underrated IMO.,34,33,0,32,2,0
2026-07-16T21:53:26.081Z,,fountain_stream,Fountain,stream,npub13h3hhzv20uqjsyrmj95mstdvsqae3th5a2vr7ctjal2rvpw34xvsdwa57n,,LFRAwquls7et64LTHFIF,020,"Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,460,,,fountain supporters firestore,,152,152,0,147,9,
2026-07-16T19:30:34Z,335f09ab5db38382812b15d17c1ae4988cfbda74242a89dfdc5161bf78258670,fountain_boost,Fountain,boost,npub15ymzglvv4alrp06q85eqqmawegxf688v0gtqwhjpgtp0a4k2mesqshkwwx,,Mb8UVvZvDOoSxUobeHzq,014,"Local Bitcoiners • Permaculture for Bitcoin Culture w/Sourcenode: Greenville, SC | Ep. 014",false,323,107,1.0,fountain api,Great rip.  Thank you guys 🙏\n#40HPW🎧,107,107,0,103,6,0
2026-07-16T17:53:21Z,4bbcf689f62d5037ef0d7240c15ab7b746bf620e961229df26210ff9b3069abb,zap,nostr zaps,zap,npub1jxh2kga4ve8d4ftahcqtqswvk5z5f7ya0k2kx3dm679hmw4ysesqvt62rj,,,,,true,65,65,1.0,zap receipt,,0,0,65,0,0,0
2026-07-16T16:10:38Z,df4a674977b618daee798c001ee68fb1cc7f90b874e45dbcf5c45a8ea59641cb,zap,nostr zaps,zap,npub1rqqd85qhv4pu29ahvkx7ve7l8769wc26um3ewmwj2aqh0q0wvphs6600tz,,,,,true,420,420,1.0,zap receipt,Let's go 🚀,0,0,420,0,0,0
2026-07-16T15:43:56Z,605c0923774d3c9340e71fb1559c28462230a76e4aa26dc5d93599b41c4bd559,zap,nostr zaps,zap,npub13q8evu294dnt20vacfuagj5hy2agwhfr93el8h68qlg708zrxm8qnd6vpv,,,,,true,105,105,1.0,zap receipt,,0,0,105,0,0,0
2026-07-16T15:20:32Z,27f6c69fed4820660293fb7f5df95e682d777dd576c56c37a658621d4b88e481,fountain_boost,Fountain,boost,,,LFRAwquls7et64LTHFIF,020,"Local Bitcoiners • Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,10000,3300,1.0,fountain api,keep up the great work guys!!,3300,3300,0,3200,200,0
2026-07-16T14:46:31Z,377890f987eceac4d31e83c81a9a2d4c271ade4034001ab24e88a43908df11fb,zap,nostr zaps,zap,npub1u8umhxc4ewe7f8qvs9pxjtcs3qagnzvv5qal7kf7fq08zsuwhawqyu2gqg,,,,,true,21,21,1.0,zap receipt,Yeah buddy,0,0,21,0,0,0
2026-07-16T13:51:58Z,4f998ab68895e847a7ac09bb1ad127deaa0cc57682119174d1270f0b085284a6,fountain_boost,Fountain,boost,npub15rp8pt5u4r8m5yavdceuzsr8zcah0jtwwpfu2nmp22ss3yjawn3qhtdruw,,rPKfsikJqyzTYCuSSv6D,019,"Local Bitcoiners • Recording the Revolution w/Shannon: Columbus, OH | Ep. 019",false,100,33,1.0,fountain api,Finally had a minute to check the website a little. You guys are doing great at providing excellent value!,33,33,0,32,2,0
2026-07-16T13:19:40.576Z,,fountain_stream,Fountain,stream,npub1gdl92pgwnxjts7sa4q00kplegugav5a2an5s5pju7hkupmkqce4q0wfzsx,,LFRAwquls7et64LTHFIF,020,"Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,2397,,,fountain supporters firestore,,791,791,0,767,48,
2026-07-16T13:18:25Z,2123406b6f046122efac0d615d7c3c5debd322952ffb3df0d53c76d91946c074,fountain_boost,Fountain,boost,npub1gdl92pgwnxjts7sa4q00kplegugav5a2an5s5pju7hkupmkqce4q0wfzsx,,LFRAwquls7et64LTHFIF,020,"Local Bitcoiners • Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,42021,13867,1.0,fountain api,Thank you for doing what you guys do!,13867,13867,0,13447,840,0
2026-07-16T13:13:07Z,47ecf774618ae104a51d82b4b97a5bff78a48afe371e940cc5c65f558ac7e31f,fountain_boost,Fountain,boost,npub192ykrd4u20ccy265jv9d6ukuk2qq80y3t5w724k5mdcpr949jx0sr7m7yg,,LFRAwquls7et64LTHFIF,020,"Local Bitcoiners • Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,5900,1947,0.33,sat math 0.33,Sounds like Chicago is cooking! \n\nGreat episode boys.,1947,1947,0,1888,118,0
2026-07-16T11:46:44Z,802baa82730c0005fd92ec0fc315dcd271b71845071107e5ae7be0da82bca5b4,fountain_boost,Fountain,boost,npub12xycvg8gahx3reqnj0fy052k3445wds6u4k66v2awnx7sgj7pl5s9c0s2g,,LFRAwquls7et64LTHFIF,020,"Local Bitcoiners • Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,9216,3041,1.0,fountain api,CBC is doing amazing work. Great episode!,3042,3041,0,2949,184,0
2026-07-16T11:45:17Z,de96f1e816185deba857636daf3bc2893ae6903021041abd188f8bac8adffc5a,fountain_boost,Fountain,boost,npub1gdl92pgwnxjts7sa4q00kplegugav5a2an5s5pju7hkupmkqce4q0wfzsx,,LFRAwquls7et64LTHFIF,020,"Local Bitcoiners • Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,420,139,1.0,fountain api,*no comment with boost*,139,139,0,134,8,0
2026-07-16T10:34:17Z,7f369b27911de1c3248b78b58d4f7b9397f5d64bd5274f438d81d8b110959e82,zap,nostr zaps,zap,npub17hzfgmd96utvzyj973h53j28vk6vkc8m5ztwkcrwhmh2u3wn007qtklhvt,,,,,true,500,500,1.0,zap receipt,,0,0,500,0,0,0
2026-07-16T10:19:51Z,ae6df0a49a3cd8bb96d6c34a1bdaab5313b9cd1d78f15430f9e9cd0d89a805ea,fountain_boost,Fountain,boost,npub1a3zuwhttqgxw340qgupl24jmydnssmht05v48ecm5tvx762d358sexf24q,,LFRAwquls7et64LTHFIF,020,"Local Bitcoiners • Chicago Bitcoin Collective w/Jon, Brady & Foise: Chicago, IL | Ep. 020",false,5000,1650,1.0,fountain api,"Great episode.  Chicago really sounds like they have their act together up there and are a great inspiration for the rest of the meetup groups across the country.  Nice job CBC!  Want to clear something funny up…. My handle is pronounced (wit sixer).  I got a kick out of the different ways to say it but thought I’d clear it up for you.  Also, want to shout out the last episode involving Columbus.  I boosted the show via the Local Bitcoiners website, but there was some sort of glitch.  And it didn’t make it on  this episode.  Shannon and his meetup gang do a great job down there. Several of our members here in Cleveland have gone to the Columbus events and we always come back home glad we made the short drive down there.  Apologies for the wordy boost this time 😎",1650,1650,0,1600,100,0
2026-07-16T04:35:46Z,748f3ad9733437076d6950615a8adb6838dcb3471ac39991a54472e4a24ba69c,zap,nostr zaps,zap,npub1p2u3tjffwlrxk47xhajdtqjjmdrwt5p845k8ux4vn23mf0p2udusts3xce,,,,,true,21000,21000,1.0,zap receipt,Just got to listening these. Great stuff,0,0,21000,0,0,0
2026-07-15T17:42:19Z,195a530d8d6298fa913d55cde041dfdce7fc76aecd570e56a34c480b657b5024,fountain_boost,Fountain,boost,npub1jxh2kga4ve8d4ftahcqtqswvk5z5f7ya0k2kx3dm679hmw4ysesqvt62rj,,D1Z2oJExWQIqEmrg95TL,007,"Local Bitcoiners • How Meetups can Benefit from V4V, Nostr and Valuechains | Ep. 007",false,101,33,1.0,fountain api,Boop,34,33,32,0,2,0
2026-07-15T15:41:05Z,cf6f5dcbbb7049b0955220217f9958d94917c45ac7a425d0936bc4a627ec46f5,website,localbitcoiners.com,boost,npub17hzfgmd96utvzyj973h53j28vk6vkc8m5ztwkcrwhmh2u3wn007qtklhvt,,bBf4IJhsERLpTYeRESOa,018,"Upping Your Meetup Game w/Steve, Scott & Tali: Louisville, KY | Ep. 018",false,1234,409,1.0,boost receipt,"I love what Reed said about the boosts bringing attention to otherwise ""dead"" npubs. I love nostr, I hate speaking to seemingly no one. The void no longer wants to be screamed into. Follow for dope interactions, or at least a humble good morning.",407,407,25,395,0,0
2026-07-15T03:50:01Z,30aaf589591b0d2db6e8acc4be667409f9d58dbbb8bd32110dc4739edd6855ca,zap,nostr zaps,zap,npub1rng2fsg5a835efg73d3h347pqdd09hwqtldzmka93h9dhz9pm5fsr2rujd,,,,,true,2,1,0.333333,zap receipt,𑣲𝄞,0,0,1,0,0,0
2026-07-14T22:46:39Z,e72eb36d1327455a0dc7ec217ec0dc3c7122637f92c60abc330bc3d1051a075d,website,localbitcoiners.com,boost,npub1y3s99smcstupmj0txq3j26s7ue5qynuyjng5xle6jw5jy8jt85tq6kajjt,,Q48WBr6nT3mrbwMZ8ydY,,Local Bitcoiners,true,100,33,1.0,boost receipt,Clicking around on the local bitcoiners website!,33,33,34,0,0,0
2026-07-14T22:45:26Z,c7fe1b9bff81cba3ba5b059b3a478cf83ccca5cee3f4d2db84e8aa7fdc7df610,website,localbitcoiners.com,boost,npub1y3s99smcstupmj0txq3j26s7ue5qynuyjng5xle6jw5jy8jt85tq6kajjt,,Q48WBr6nT3mrbwMZ8ydY,,Local Bitcoiners,true,420,138,1.0,boost receipt,"Sactown Bitcoiners Monthly Education Meetup Thursday, Jul 23\n\nFind the random door on the side of the library building!\n\nhttps://www.meetup.com/bitcoin-only-sactown/events/315540285/?eventOrigin=group_upcoming_events",139,139,142,0,0,0
2026-07-14T14:13:37Z,02de17276e292c78a853e58bdace381cb34ca2935b40d5cdfe6096d172786c13,website,localbitcoiners.com,boost,npub1zgy6k5c8qdw3zjvhwf6gjyqcpsdq7jgd8lndsjzpfvtfqykkj65smuswzn,,Q48WBr6nT3mrbwMZ8ydY,,Local Bitcoiners,true,500,165,1.0,boost receipt,Boosting my meetup from https://localbitcoiners.com/meetups\n\nnostr:naddr1qvzqqqrukvpzqysf4dfswq6az9yewun53ygpsrq6pays60lxmpyyzjckjqfdd94fqqkxyct5w3jhyum9vykky6t5vdhkjmn9wfej66n4d3uj6v3k95cnwwpjxq6ryvf3xycngdedxqnyf4d5,165,165,170,0,0,0
2026-07-13T14:59:41Z,54ea2ddb863e96fc7c91bd2ef4357523842af04418a5390dab59e2ae7ed27bf2,zap,nostr zaps,zap,npub18mv07htjfsut45rucsg8v8kxg9sq2aqf5e0sxtfyunky9shrkhdssf9ktc,,,,,true,42,14,0.333333,zap receipt,Onward 🫡,0,0,14,0,0,0
2026-07-13T12:25:32Z,e31f7ad912189ba86a0fb23bd0ff67909e554d3029f1993b3218d5b0496d9d67,fountain_boost,Fountain,boost,npub1jxh2kga4ve8d4ftahcqtqswvk5z5f7ya0k2kx3dm679hmw4ysesqvt62rj,,ALmlcUO8Jz2GtvYSbqBZ,005,"Local Bitcoiners • The Meetup Is the Farmer's Market: Kansas City, MO | Ep. 005",false,101,33,1.0,fountain api,I miss the roller skating heydays,34,33,0,32,2,0
2026-07-13T01:55:19Z,be0e659da65a86fcb28c0eb2321325c1992b0147bd4b808cb11bcf12a89cfec9,website,localbitcoiners.com,boost,npub1z3h8afkwknffxyspvjde77sj6euy66rtyul7qlkl7f2ygktxdqasnn760f,,rPKfsikJqyzTYCuSSv6D,019,"Recording the Revolution w/Shannon: Columbus, OH | Ep. 019",false,3400,1650,1.0,boost receipt,"Glad to hear cool things happening in that other city south of the border home of that one school (Columbus). Much love from Ann Arbor, home of the good guys 😁",1122,1122,68,1088,0,100
2026-07-11T20:07:52Z,47fed5d0e0c2869770bb58747c4089e1e8ce04fddacb3f337491ec7b3396cc2d,fountain_boost,Fountain,boost,npub1a6hvdlk99q83hsw8cgzdjww8m7xnxx9yg77mfmm60n45fed6kdgsaprzvp,,rPKfsikJqyzTYCuSSv6D,019,"Local Bitcoiners • Recording the Revolution w/Shannon: Columbus, OH | Ep. 019",false,2121,700,1.0,fountain api,"Join us for our first ever, third Tuesday monthly Green Bay Wisconsin and Fox River Area meet up… Tuesday, July 21 at 6 PM at All Shook Up Tavern.  Pizza will be provided and drinks available for purchase with BTC or Fiat.  This will be a casual social event to connect local bitcoiners and future bitcoiners together!  Let’s build our local network!",700,700,0,679,42,0
2026-07-11T07:53:14Z,483f2a9dc76e486e0ee14aa54587e0cf63b80f84c9526d67ec8ff2c8a26159bb,fountain_boost,Fountain,boost,npub15604np6ccsk7ugph4nrg7kyq7kpme9lmcn4l0q2xk4yd5d6puu2s00dr0u,,rPKfsikJqyzTYCuSSv6D,019,"Local Bitcoiners • Recording the Revolution w/Shannon: Columbus, OH | Ep. 019",false,1237,408,1.0,fountain api,Thank you gentleman,408,408,0,396,25,0
2026-07-10T20:07:47Z,eaacf763d1e06e1f4230f3d95fa7068c1e72c622c48220583d967ea7eff15393,fountain_boost,Fountain,boost,,,rPKfsikJqyzTYCuSSv6D,019,"Local Bitcoiners • Recording the Revolution w/Shannon: Columbus, OH | Ep. 019",false,221,73,0.33,sat math 0.33,#Circl is a web client with NIP-07 login so it can be used on mobile as well! I use it on iOS with the,73,73,0,71,4,0
2026-07-09T20:12:53Z,9ce24e3bb11c05d4e307c5e8812efb8c3fa71b8b9ef76303012a26b13bc304c5,fountain_boost,Fountain,boost,npub1vvcxpktswmuaqr5a27u3926m036mu43wgev4rsktcntduygdn4estgp5fy,,rPKfsikJqyzTYCuSSv6D,019,"Local Bitcoiners • Recording the Revolution w/Shannon: Columbus, OH | Ep. 019",false,111,37,1.0,fountain api,"Funnily enough, I didn’t know what NIP-A0 was until y’all mentioned voicemails in episode 18. Then I remembered the Nostr CEO nostr:npub1wa3jv2usx0s37tzaw7hpfla6s23p3ecagz3dm04mle9jjz7xuwqqjf5rkm created yakbak.app a while back, which is geared towards voice messages under a minute. \n\nI know how bullish you are on Nostr integrations. So when you do add support for voicemails on the site, it’ll appear on YakBak and #Circl. This is why I Nostr.",36,37,0,36,2,0
